cntry_code,year,proj_r1Gini_SSP1,proj_r1Gini_SSP2,proj_r1Gini_SSP3,proj_r1Gini_SSP4,proj_r1Gini_SSP5,proj_rmultiGini_SSP1,proj_rmultiGini_SSP2,proj_rmultiGini_SSP3,proj_rmultiGini_SSP4,proj_rmultiGini_SSP5,gini_std
BEL,2037,24.171604,26.524193,31.542463,32.829903,23.872988,26.758348,27.735338,29.723045,30.056335,26.470844,13.612668
BEL,2038,23.945992,26.408302,31.700878,33.042152,23.62619,26.684898,27.732452,29.836498,30.190819,26.369436,13.714908
BEL,2039,23.713358,26.28779,31.859222,33.254089,23.370073,26.605816,27.726805,29.9499,30.324963,26.259729,13.818849
BEL,2040,23.473913,26.162735,32.017483,33.465729,23.104773,26.521208,27.718424,30.06324,30.458792,26.141769,13.924481
BEL,2041,23.228035,26.03335,32.175667,33.677368,22.830938,26.431515,27.707535,30.176603,30.592733,26.01631,14.031432
BEL,2042,22.987026,25.905891,32.347401,33.900806,22.558437,26.342777,27.699339,30.296629,30.732773,25.889215,14.13483
BEL,2043,22.739683,25.774145,32.519035,34.123989,22.277086,26.248764,27.688505,30.416569,30.872551,25.753967,14.239817
BEL,2044,22.486107,25.638256,32.690578,34.346935,21.986912,26.149523,27.675104,30.536427,31.012096,25.610531,14.346399
BEL,2045,22.226454,25.498251,32.862026,34.569675,21.687981,26.045124,27.659145,30.6562,31.151442,25.458883,14.454584
BEL,2046,21.961212,25.354496,33.033485,34.792789,21.380779,25.936186,27.641047,30.776136,31.29138,25.299603,14.563932
BEL,2047,21.703762,25.21759,33.228424,35.034634,21.070457,25.828367,27.626261,30.904633,31.438805,25.136871,14.669357
BEL,2048,21.440598,25.076826,33.423271,35.276318,20.751482,25.71557,27.609039,31.033047,31.586098,24.965816,14.776296
